FIPS_Code,State,Area_Name,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than high school graduate, 1990","High school graduate (or equivalency), 1990","Some college or associate degree, 1990","Bachelor's degree or higher, 1990","Percent of adults who are not high school graduates, 1990","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults completing some college or associate degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than high school graduate, 2000","High school graduate (or equivalency), 2000","Some college or associate degree, 2000","Bachelor's degree or higher, 2000","Percent of adults who are not high school graduates, 2000","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults completing some college or associate degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than high school graduate, 2008-2012","High school graduate (or equivalency), 2008-2012","Some college or associate degree, 2008-2012","Bachelor's degree or higher, 2008-2012","Percent of adults who are not high school graduates, 2008-2012","Percent of adults who are high school graduates (or equivalent), 2008-2012","Percent of adults completing some college or associate degree, 2008-2012","Percent of adults with a bachelor's degree or higher, 2008-2012","Less than high school graduate, 2019-2023","High school graduate (or equivalency), 2019-2023","Some college or associate degree, 2019-2023","Bachelor's degree or higher, 2019-2023","Percent of adults who are not high school graduates, 2019-2023","Percent of adults who are high school graduates (or equivalent), 2019-2023","Percent of adults completing some college or associate degree, 2019-2023","Percent of adults with a bachelor's degree or higher, 2019-2023","Census Population, 2020","Population Estimates Base, 2020","Population Estimate, 2020","Population Estimate, 2021","Population Estimate, 2022","Population Estimate, 2023","Population Change, 2020","Population Change, 2021","Population Change, 2022","Population Change, 2023","Births, 2020","Births, 2021","Births, 2022","Births, 2023","Deaths, 2020","Deaths, 2021","Deaths, 2022","Deaths, 2023","Natural Change, 2020","Natural Change, 2021","Natural Change, 2022","Natural Change, 2023","International Migration, 2020","International Migration, 2021","International Migration, 2022","International Migration, 2023","Domestic Migration, 2020","Domestic Migration, 2021","Domestic Migration, 2022","Domestic Migration, 2023","Net Migration, 2020","Net Migration, 2021","Net Migration, 2022","Net Migration, 2023","Residual Population Change, 2020","Residual Population Change, 2021","Residual Population Change, 2022","Residual Population Change, 2023","Birth Rate, 2021","Birth Rate, 2022","Birth Rate, 2023","Death Rate, 2021","Death Rate, 2022","Death Rate, 2023","Natural Change Rate, 2021","Natural Change Rate, 2022","Natural Change Rate, 2023","International Migration Rate, 2021","International Migration Rate, 2022","International Migration Rate, 2023","Domestic Migration Rate, 2021","Domestic Migration Rate, 2022","Domestic Migration Rate, 2023","Net Migration Rate, 2021","Net Migration Rate, 2022","Net Migration Rate, 2023","Number in Poverty, All Ages, 2023","Poverty Rate, All Ages, 2023","Number in Poverty, Ages 0-17, 2023","Poverty Rate, Ages 0-17, 2023","Median Household Income, 2023","Median Household Income, Lower 90% Confidence Bound, 2023","Median Household Income, Upper 90% Confidence Bound, 2023","Civilian Labor Force, 2000","Employed, 2000","Unemployed, 2000","Unemployment Rate, 2000","Civilian Labor Force, 2001","Employed, 2001","Unemployed, 2001","Unemployment Rate, 2001","Civilian Labor Force, 2002","Employed, 2002","Unemployed, 2002","Unemployment Rate, 2002","Civilian Labor Force, 2003","Employed, 2003","Unemployed, 2003","Unemployment Rate, 2003","Civilian Labor Force, 2004","Employed, 2004","Unemployed, 2004","Unemployment Rate, 2004","Civilian Labor Force, 2005","Employed, 2005","Unemployed, 2005","Unemployment Rate, 2005","Civilian Labor Force, 2006","Employed, 2006","Unemployed, 2006","Unemployment Rate, 2006","Civilian Labor Force, 2007","Employed, 2007","Unemployed, 2007","Unemployment Rate, 2007","Civilian Labor Force, 2008","Employed, 2008","Unemployed, 2008","Unemployment Rate, 2008","Civilian Labor Force, 2009","Employed, 2009","Unemployed, 2009","Unemployment Rate, 2009","Civilian Labor Force, 2010","Employed, 2010","Unemployed, 2010","Unemployment Rate, 2010","Civilian Labor Force, 2011","Employed, 2011","Unemployed, 2011","Unemployment Rate, 2011","Civilian Labor Force, 2012","Employed, 2012","Unemployed, 2012","Unemployment Rate, 2012","Civilian Labor Force, 2013","Employed, 2013","Unemployed, 2013","Unemployment Rate, 2013","Civilian Labor Force, 2014","Employed, 2014","Unemployed, 2014","Unemployment Rate, 2014","Civilian Labor Force, 2015","Employed, 2015","Unemployed, 2015","Unemployment Rate, 2015","Civilian Labor Force, 2016","Employed, 2016","Unemployed, 2016","Unemployment Rate, 2016","Civilian Labor Force, 2017","Employed, 2017","Unemployed, 2017","Unemployment Rate, 2017","Civilian Labor Force, 2018","Employed, 2018","Unemployed, 2018","Unemployment Rate, 2018","Civilian Labor Force, 2019","Employed, 2019","Unemployed, 2019","Unemployment Rate, 2019","Civilian Labor Force, 2020","Employed, 2020","Unemployed, 2020","Unemployment Rate, 2020","Civilian Labor Force, 2021","Employed, 2021","Unemployed, 2021","Unemployment Rate, 2021","Civilian Labor Force, 2022","Employed, 2022","Unemployed, 2022","Unemployment Rate, 2022","Civilian Labor Force, 2023","Employed, 2023","Unemployed, 2023","Unemployment Rate, 2023","Median Household Income, 2022","Median Household Income, Percent of State Total, 2022"
01000,AL,Alabama,1062306,468269,136287,141936,58.7,25.9,7.5,7.8,964840,704207,278205,270063,43.5,31.8,12.5,12.2,843638,749591,553512,399228,33.1,29.4,21.7,15.7,714081,877216,746495,549608,24.7,30.4,25.9,19,551030,991406,918987,705001,17.40228093,31.30995723,29.02286617,22.26489567,409381,1046374,1035466,957081,11.87195901,30.34461599,30.02828639,27.75513862,5024279,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,11.3,11.5,11.4,13.7,13.3,11.7,-2.4,-1.8,-0.3,0.4,0.9,1.1,5.5,5.6,6,5.9,6.5,7.1,780043,15.7,236320,21.3,62248,61546,62950,2147173,2047731,99442,4.6,2128027,2017467,110560,5.2,2112621,1987633,124988,5.9,2128668,2001568,127100,6,2138306,2018783,119523,5.6,2140356,2045234,95122,4.4,2170007,2083207,86800,4,2180448,2092030,88418,4.1,2176854,2049579,127275,5.8,2156593,1938784,217809,10.1,2197028,1968824,228204,10.4,2202337,1991379,210958,9.6,2178508,2000848,177660,8.2,2172102,2012828,159274,7.3,2164715,2018705,146010,6.7,2152295,2020443,131852,6.1,2155729,2029157,126572,5.9,2203458,2103873,99585,4.5,2240109,2152270,87839,3.9,2271835,2199379,72456,3.2,2263144,2118600,144544,6.4,2249514,2173978,75536,3.4,2276362,2218627,57735,2.5,2308131,2250472,57659,2.5,59703,100
02000,AK,Alaska,44994,50820,20052,19082,33.3,37.7,14.9,14.1,36941,82180,47722,44554,17.5,38.9,22.6,21.1,43244,92925,112763,74497,13.4,28.7,34.9,23,44282,105812,135655,93807,11.7,27.9,35.7,24.7,37652,121272,165651,122968,8.413046344,27.09728451,37.01342664,27.47624251,31854,141206,162411,152432,6.528756741,28.94140844,33.28755921,31.24227562,733391,733374,732964,734923,733276,733406,-410,1959,-1647,130,2406,9453,9356,9266,1171,5330,6340,5581,1235,4123,3016,3685,63,873,2356,2004,-1663,-2948,-7202,-5543,-1600,-2075,-4846,-3539,-45,-89,183,-16,12.9,12.7,12.6,7.3,8.6,7.6,5.6,4.1,5,1.2,3.2,2.7,-4,-9.8,-7.6,-2.8,-6.6,-4.8,75594,10.5,21568,12.5,88696,86365,91027,319777,299590,20187,6.3,321652,301422,20230,6.3,327054,303560,23494,7.2,332494,306964,25530,7.7,337469,312394,25075,7.4,344157,320273,23884,6.9,348756,325672,23084,6.6,350233,328309,21924,6.3,355298,332364,22934,6.5,359379,330718,28661,8,361707,332185,29522,8.2,364599,336312,28287,7.8,364153,337834,26319,7.2,363544,338104,25440,7,364281,339704,24577,6.7,362425,339604,22821,6.3,362017,338193,23824,6.6,360589,337108,23481,6.5,355499,334068,21431,6,352029,332197,19832,5.6,346552,317678,28874,8.3,351520,329147,22373,6.4,353692,338729,14963,4.2,357094,342005,15089,4.2,88072,100
04000,AZ,Arizona,383873,289781,127063,115020,41.9,31.6,13.9,12.6,430974,535096,321361,271460,27.6,34.3,20.6,17.4,491080,601440,741784,466873,21.3,26.1,32.2,20.3,619547,791904,1078521,766212,19,24.3,33.1,23.5,604136,1012503,1428213,1105103,14.55765183,24.39792721,34.41514426,26.6292767,544528,1171693,1646950,1627462,10.91100067,23.47784339,33.00082374,32.6103322,7151502,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,18110,75693,79137,78494,18025,80276,79807,70792,85,-4583,-670,7702,253,8010,22296,21635,29980,82290,69798,36179,30233,90300,92094,57814,-1537,87,1773,144,10.5,10.8,10.6,11.1,10.9,9.6,-0.6,-0.1,1,1.1,3,2.9,11.4,9.5,4.9,12.5,12.6,7.8,917925,12.6,246285,15.8,77158,76244,78072,2510611,2410825,99786,4,2593664,2470816,122848,4.7,2683502,2518051,165451,6.2,2728649,2571097,157552,5.8,2788618,2649564,139054,5,2862517,2729018,133499,4.7,2970679,2843054,127625,4.3,3018805,2905144,113661,3.8,3095993,2916698,179295,5.8,3128891,2826426,302465,9.7,3096316,2777404,318912,10.3,3051937,2763761,288176,9.4,3054343,2799634,254709,8.3,3064554,2825341,239213,7.8,3118441,2906193,212248,6.8,3184445,2990545,193900,6.1,3253468,3075851,177617,5.5,3240111,3079700,160411,5,3325721,3166013,159708,4.8,3432400,3267548,164852,4.8,3471339,3200219,271120,7.8,3525449,3347264,178185,5.1,3599531,3462671,136860,3.8,3690974,3546508,144466,3.9,74355,100
05000,AR,Arkansas,635149,271150,80835,70378,60.1,25.6,7.6,6.7,595637,443429,153375,144677,44.5,33.2,11.5,10.8,503481,489570,303795,199304,33.7,32.7,20.3,13.3,427449,590416,424907,288428,24.7,34.1,24.5,16.7,320693,674742,545270,380334,16.69372668,35.1238054,28.38411922,19.79834871,233857,702778,593923,513221,11.44238198,34.3862032,29.06004025,25.11137457,3011524,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,8509,34927,36298,35566,8475,40180,40362,36473,34,-5253,-4064,-907,94,1346,3215,4096,2537,17806,18841,18106,2631,19152,22056,22202,193,196,-31,33,11.6,12,11.6,13.3,13.3,11.9,-1.7,-1.3,-0.3,0.4,1.1,1.3,5.9,6.2,5.9,6.3,7.3,7.3,459700,15.4,140145,20.2,58748,57628,59868,1260507,1207833,52674,4.2,1261419,1201314,60105,4.8,1276964,1209006,67958,5.3,1282578,1208583,73995,5.8,1302378,1229546,72832,5.6,1333880,1263663,70217,5.3,1346532,1276000,70532,5.2,1350811,1277902,72909,5.4,1357716,1284175,73541,5.4,1353340,1248691,104649,7.7,1353635,1247059,106576,7.9,1357819,1250431,107388,7.9,1349888,1251883,98005,7.3,1331609,1237609,94000,7.1,1327959,1249766,78193,5.9,1339301,1272785,66516,5,1343891,1290430,53461,4,1348088,1297854,50234,3.7,1343862,1294809,49053,3.7,1353175,1305858,47317,3.5,1340557,1257949,82608,6.2,1330676,1276933,53743,4,1359540,1315886,43654,3.2,1377657,1332876,44781,3.3,55505,100
06000,CA,California,4062367,3566578,1784772,1462266,37.4,32.8,16.4,13.4,3724736,4415732,3150653,2752865,26.5,31.4,22.4,19.6,4450528,4167897,5710400,4366674,23.8,22.3,30.5,23.4,4942743,4288452,6397739,5669966,23.2,20.1,30,26.6,4577493,4988559,7206710,7344555,18.98010877,20.6845521,29.88188943,30.45344969,4149146,5496195,7461496,9834361,15.40074795,20.4007075,27.69548704,36.50305751,39538223,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,103133,412506,423922,414120,74587,345181,318145,302704,28546,67325,105777,111416,1383,44116,126517,150982,-67932,-458862,-332785,-338371,-66549,-414746,-206268,-187389,2991,-10719,-3953,550,10.5,10.8,10.6,8.8,8.1,7.8,1.7,2.7,2.9,1.1,3.2,3.9,-11.7,-8.5,-8.7,-10.5,-5.3,-4.8,4597732,12,1242302,15,95473,94866,96080,16837536,16011619,825917,4.9,17096428,16160509,935919,5.5,17246528,16081472,1165056,6.8,17271899,16081515,1190384,6.9,17374506,16293555,1080951,6.2,17537931,16593622,944309,5.4,17661179,16797845,863334,4.9,17910726,16955400,955326,5.3,18179907,16856082,1323825,7.3,18305953,16193122,2112831,11.5,18370536,16078454,2292082,12.5,18406756,16220602,2186154,11.9,18484881,16541039,1943842,10.5,18565408,16887864,1677544,9,18676692,17264518,1412174,7.6,18824141,17647409,1176732,6.3,19012017,17965407,1046610,5.5,19185366,18258064,927302,4.8,19289505,18469910,819595,4.2,19385262,18589551,795711,4.1,18958604,17037036,1921568,10.1,18956575,17568743,1387832,7.3,19169341,18348916,820425,4.3,19308287,18388329,919958,4.8,91517,100
08000,CO,Colorado,411837,392787,166188,170326,36.1,34.4,14.6,14.9,355405,575365,351108,382013,21.4,34.6,21.1,23,328056,558312,652448,568256,15.6,26.5,31,27,363039,644360,861478,907755,13.1,23.2,31,32.7,335459,744320,1028184,1220906,10.07726648,22.35954614,30.88688681,36.67630057,292446,811023,1128710,1806355,7.241390069,20.08211396,27.94850805,44.72798793,5773714,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,15593,62137,62682,62498,11914,46481,49599,45099,3679,15656,13083,17399,244,3913,10413,11931,7169,5404,6772,7236,7413,9317,17185,19167,420,1404,-825,5,10.7,10.8,10.7,8,8.5,7.7,2.7,2.2,3,0.7,1.8,2,0.9,1.2,1.2,1.6,2.9,3.3,538673,9.4,129751,10.9,92790,91759,93821,2358371,2294104,64267,2.7,2396012,2304547,91465,3.8,2448903,2309639,139264,5.7,2490397,2338432,151965,6.1,2539389,2397588,141801,5.6,2572382,2442134,130248,5.1,2640452,2528550,111902,4.2,2687742,2588340,99402,3.7,2734398,2601712,132686,4.9,2730604,2515483,215121,7.9,2715723,2466996,248727,9.2,2730262,2493472,236790,8.7,2749192,2529785,219407,8,2766140,2579568,186572,6.7,2800666,2661070,139596,5,2825761,2719997,105764,3.7,2894157,2803504,90653,3.1,2963790,2885980,77810,2.6,3054347,2961423,92924,3,3104684,3022060,82624,2.7,3082228,2873752,208476,6.8,3149673,2977479,172194,5.5,3186932,3089081,97851,3.1,3230482,3128115,102367,3.2,89096,100
09000,CT,Connecticut,740830,534830,179635,230303,44,31.7,10.7,13.7,563760,653884,289956,392564,29.7,34.4,15.3,20.7,457208,648366,495696,597693,20.8,29.5,22.5,27.2,367656,653300,553667,720994,16,28.5,24.1,31.4,268454,677253,606544,879089,11.04140104,27.85513338,24.94690171,36.15656387,219549,647094,603807,1062403,8.668051403,25.54802825,23.83900684,41.9449135,3605944,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,8465,33942,35572,34957,11938,34571,34833,32842,-3473,-629,739,2115,410,6217,15562,15264,-21420,19032,-10081,-9016,-21010,25249,5481,6248,-3843,1485,-1205,107,9.5,9.9,9.7,9.6,9.7,9.1,-0.2,0.2,0.6,1.7,4.3,4.2,5.3,-2.8,-2.5,7,1.5,1.7,359550,10.2,92619,13,91477,90074,92880,1760697,1723597,37100,2.1,1749195,1698594,50601,2.9,1776064,1697788,78276,4.4,1785737,1688380,97357,5.5,1777510,1687121,90389,5.1,1794301,1707935,86366,4.8,1831083,1750385,80698,4.4,1856008,1773047,82961,4.5,1878120,1772393,105727,5.6,1888374,1731361,157013,8.3,1911289,1728121,183168,9.6,1914449,1741971,172478,9,1887545,1729687,157858,8.4,1867378,1718834,148544,8,1889102,1764118,124984,6.6,1892087,1785788,106299,5.6,1893200,1801390,91810,4.8,1923711,1838833,84878,4.4,1923872,1849370,74502,3.9,1931826,1862314,69512,3.6,1874247,1724812,149435,8,1842166,1724540,117626,6.4,1912008,1833670,78338,4.1,1893200,1822088,71112,3.8,88182,100
10000,DE,Delaware,130463,91211,28091,37630,45.4,31.7,9.8,13.1,108063,124798,51590,60206,31.4,36.2,15,17.5,96472,140030,100275,91722,22.5,32.7,23.4,21.4,89536,161760,134445,128917,17.4,31.4,26.1,25,74349,190866,166032,172084,12.32308633,31.63537097,27.51922245,28.52232025,61144,206192,192480,250626,8.606473153,29.02305888,27.09299281,35.27747515,989948,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,2579,10174,10883,10725,2959,11228,11488,10897,-380,-1054,-605,-172,62,939,2378,2277,2195,13284,12669,10320,2257,14223,15047,12597,39,-150,136,6,10.2,10.8,10.5,11.2,11.3,10.6,-1.1,-0.6,-0.2,0.9,2.3,2.2,13.3,12.5,10.1,14.2,14.9,12.3,109203,10.8,32159,15.4,81615,80048,83182,412956,398188,14768,3.6,421563,406517,15046,3.6,417207,399417,17790,4.3,415890,397310,18580,4.5,421093,402992,18101,4.3,433375,413828,19547,4.5,443228,425995,17233,3.9,445306,429203,16103,3.6,450265,427694,22571,5,438383,401718,36665,8.4,436196,398388,37808,8.7,443971,410229,33742,7.6,445962,414489,31473,7.1,443551,414215,29336,6.6,452712,427400,25312,5.6,462752,440555,22197,4.8,468808,447640,21168,4.5,475214,453949,21265,4.5,480371,462545,17826,3.7,485873,468539,17334,3.6,486701,450325,36376,7.5,493627,466623,27004,5.5,497202,475995,21207,4.3,506529,486404,20125,4,81933,100
11000,DC,District of Columbia,189720,110767,47331,75233,44.8,26.2,11.2,17.8,131277,101817,56081,109478,32.9,25.5,14.1,27.5,109866,86756,76224,136285,26.9,21.2,18.6,33.3,85249,79169,69880,150237,22.2,20.6,18.2,39.1,52036,79574,72073,213749,12.46574292,19.06274555,17.26580617,51.20570536,34651,70322,71527,307906,7.153297028,14.51716122,14.7659195,63.56362225,689545,689548,670839,669037,670949,678972,-18709,-1802,1912,8023,2187,8508,8399,7627,2004,5837,5572,5020,183,2671,2827,2607,50,1745,4527,6969,-15475,-6551,-4917,-1509,-15425,-4806,-390,5460,-3467,333,-525,-44,12.7,12.5,11.3,8.7,8.3,7.4,4,4.2,3.9,2.6,6.8,10.3,-9.8,-7.3,-2.2,-7.2,-0.6,8.1,98811,15.2,25956,20.7,104643,100688,108598,309977,292299,17678,5.7,311232,291080,20152,6.5,308760,287196,21564,7,308454,285997,22457,7.3,313735,288323,25412,8.1,318130,295907,22223,7,320581,300323,20258,6.3,326557,307071,19486,6,334487,311588,22899,6.8,338113,304277,33836,10,346707,312132,34575,10,352193,316372,35821,10.2,365176,332412,32764,9,374199,342609,31590,8.4,379678,350415,29263,7.7,388446,361556,26890,6.9,395124,370553,24571,6.2,393326,369388,23938,6.1,395604,373202,22402,5.7,400641,378443,22198,5.5,386235,355694,30541,7.9,377737,352029,25708,6.8,388387,369952,18435,4.7,398251,378714,19537,4.9,99897,100
12000,FL,Florida,1882537,1219216,458864,407264,47.4,30.7,11.6,10.3,2082948,2189572,1047471,930134,33.3,35,16.8,14.9,2271074,2679285,2312404,1624405,25.6,30.1,26,18.3,2219948,3165748,3176621,2462328,20.1,28.7,28.8,22.3,1860966,3915878,3915609,3435171,14.17595446,29.82929737,29.82724825,26.16749992,1643437,4346402,4596529,5263931,10.3684921,27.42157735,28.99963591,33.21029464,21538187,21538216,21591299,21830708,22245521,22610726,53083,239409,414813,365205,50294,207942,222003,223578,56383,250389,260220,231181,-6089,-42447,-38217,-7603,2840,46865,121233,178432,61782,244619,317923,194438,64622,291484,439156,372870,-5450,-9628,13874,-62,9.6,10.1,10,11.5,11.8,10.3,-2,-1.7,-0.3,2.2,5.5,8,11.3,14.4,8.7,13.4,19.9,16.6,2741486,12.4,689967,16,73283,72710,73856,7917857,7620683,297174,3.8,8048882,7692124,356758,4.4,8050051,7651923,398128,4.9,8123135,7760904,362231,4.5,8347316,8033591,313725,3.8,8647279,8400346,246933,2.9,8927098,8707158,219940,2.5,9113604,8813449,300155,3.3,9156458,8636212,520246,5.7,8987789,8127251,860538,9.6,9147107,8155401,991706,10.8,9260348,8334119,926229,10,9335727,8529063,806664,8.6,9414664,8706060,708604,7.5,9546407,8931440,614967,6.4,9639737,9106772,532965,5.5,9841301,9360237,481064,4.9,9972990,9544892,428098,4.3,10118306,9749598,368708,3.6,10256297,9922941,333356,3.3,10077028,9257738,819290,8.1,10320373,9838506,481867,4.7,10692183,10370751,321432,3,10988566,10668886,319680,2.9,69287,100
